SW-CORE-01#show ip arp

Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.10.1            -   aabb.cc00.0001  ARPA   Vlan10
Internet  192.168.10.2           15   aabb.cc00.0002  ARPA   Vlan10
Internet  192.168.20.1            -   aabb.cc00.0010  ARPA   Vlan20
Internet  192.168.30.1            -   aabb.cc00.0020  ARPA   Vlan30
Internet  192.168.30.2            8   aabb.cc00.0021  ARPA   Vlan30
Internet  192.168.40.1            -   aabb.cc00.0030  ARPA   Vlan40
Internet  192.168.40.2           22   aabb.cc00.0031  ARPA   Vlan40
Internet  192.168.50.1            -   aabb.cc00.0040  ARPA   Vlan50
Internet  192.168.50.2            3   aabb.cc00.0041  ARPA   Vlan50
Internet  192.168.100.1           -   aabb.cc00.0050  ARPA   Vlan1
